x,y
6.1,5.0
8.6,5.0
8.6,5.9
9.5,5.9
9.5,6.8
10.3,6.8
10.3,7.7
11.2,7.7
11.2,8.5
12.0,8.5
12.0,9.4
12.9,9.4
12.9,12.1
17.1,12.1
17.1,9.4
18.0,9.4
18.0,8.5
18.8,8.5
18.8,7.7
19.7,7.7
19.7,6.8
20.5,6.8
20.5,5.9
21.4,5.9
21.4,5.0
23.9,5.0
23.9,5.9
24.8,5.9
24.8,6.8
25.8,6.8
25.8,7.7
26.5,7.7
26.5,8.5
26.3,8.5
26.2,10.3
26.5,10.3
26.5,14.7
27.3,14.7
27.3,16.5
28.2,16.5
28.2,18.3
29.0,18.3
29.0,20.0
28.2,20.0
28.2,21.8
27.3,21.8
27.3,23.6
26.5,23.6
26.5,25.3
25.6,25.3
25.6,26.2
23.9,26.2
23.9,27.1
20.5,27.1
20.5,28.0
9.5,28.0
9.5,27.1
6.1,27.1
6.1,26.2
4.4,26.2
4.4,25.3
3.5,25.3
3.5,23.6
2.7,23.6
2.7,21.8
1.8,21.8
1.8,20.0
1.0,20.0
1.0,18.3
1.8,18.3
1.8,15
1.8,15
1.8,14.7
1.8,10.3
1.8,9.4
2.7,9.4
2.7,8.5
3.5,8.5
3.5,7.7
4.4,7.7
4.4,6.8
5.2,6.8
5.2,5.9
6.1,5.9
