x,y
25,25
25,26.25
23.75,26.25
23.75,27.5
25,27.5
26.25,27.5
26.25,28.75
25,28.75
25,30
23.75,30
23.75,28.75
22.5,28.75
22.5,30
22.5,31.25
21.25,31.25
21.25,30
20,30
20,31.25
18.75,31.25
18.75,32.5
20,32.5
21.25,32.5
21.25,33.75
20,33.75
20,35
21.25,35
21.25,36.25
22.5,36.25
22.5,35
22.5,33.75
23.75,33.75
23.75,35
25,35
26.25,35
26.25,36.25
27.5,36.25
27.5,35
27.5,33.75
28.75,33.75
28.75,35
30,35
30,36.25
28.75,36.25
28.75,37.5
30,37.5
31.25,37.5
31.25,38.75
30,38.75
30,40
28.75,40
28.75,38.75
27.5,38.75
27.5,40
27.5,41.25
26.25,41.25
26.25,40
25,40
25,41.25
23.75,41.25
23.75,42.5
25,42.5
26.25,42.5
26.25,43.75
25,43.75
25,45
26.25,45
26.25,46.25
27.5,46.25
27.5,45
27.5,43.75
28.75,43.75
28.75,45
30,45
30,46.25
28.75,46.25
28.75,47.5
30,47.5
31.25,47.5
31.25,48.75
30,48.75
30,50
31.25,50
31.25,51.25
32.5,51.25
32.5,50
32.5,48.75
33.75,48.75
33.75,50
35,50
35,48.75
36.25,48.75
36.25,47.5
35,47.5
33.75,47.5
33.75,46.25
35,46.25
35,45
35,43.75
36.25,43.75
36.25,42.5
35,42.5
33.75,42.5
33.75,41.25
35,41.25
35,40
36.25,40
36.25,41.25
37.5,41.25
37.5,40
37.5,38.75
38.75,38.75
38.75,40
40,40
40,41.25
38.75,41.25
38.75,42.5
40,42.5
41.25,42.5
41.25,43.75
40,43.75
40,45
41.25,45
41.25,46.25
42.5,46.25
42.5,45
42.5,43.75
43.75,43.75
43.75,45
45,45
45,43.75
46.25,43.75
46.25,42.5
45,42.5
43.75,42.5
43.75,41.25
45,41.25
45,40
46.25,40
46.25,41.25
47.5,41.25
47.5,40
47.5,38.75
48.75,38.75
48.75,40
50,40
50,38.75
51.25,38.75
51.25,37.5
50,37.5
48.75,37.5
48.75,36.25
50,36.25
50,35
48.75,35
48.75,33.75
47.5,33.75
47.5,35
47.5,36.25
46.25,36.25
46.25,35
45,35
43.75,35
43.75,33.75
42.5,33.75
42.5,35
42.5,36.25
41.25,36.25
41.25,35
40,35
40,33.75
41.25,33.75
41.25,32.5
40,32.5
38.75,32.5
38.75,31.25
40,31.25
40,30
41.25,30
41.25,31.25
42.5,31.25
42.5,30
42.5,28.75
43.75,28.75
43.75,30
45,30
45,28.75
46.25,28.75
46.25,27.5
45,27.5
43.75,27.5
43.75,26.25
45,26.25
45,25
43.75,25
43.75,23.75
42.5,23.75
42.5,25
42.5,26.25
41.25,26.25
41.25,25
40,25
40,23.75
41.25,23.75
41.25,22.5
40,22.5
38.75,22.5
38.75,21.25
40,21.25
40,20
38.75,20
38.75,18.75
37.5,18.75
37.5,20
37.5,21.25
36.25,21.25
36.25,20
35,20
35,21.25
33.75,21.25
33.75,22.5
35,22.5
36.25,22.5
36.25,23.75
35,23.75
35,25
35,26.25
33.75,26.25
33.75,27.5
35,27.5
36.25,27.5
36.25,28.75
35,28.75
35,30
33.75,30
33.75,28.75
32.5,28.75
32.5,30
32.5,31.25
31.25,31.25
31.25,30
30,30
30,28.75
31.25,28.75
31.25,27.5
30,27.5
28.75,27.5
28.75,26.25
30,26.25
30,25
28.75,25
28.75,23.75
27.5,23.75
27.5,25
27.5,26.25
26.25,26.25
26.25,25
25,25
